sheet,address,formula,functions,referenced_sheets
Staffing February,H19,='Daily Census IP 2012'!G7,,Daily Census IP 2012
Staffing February,I19,='Daily Census IP 2012'!H7,,Daily Census IP 2012
Staffing February,J19,='Daily Census IP 2012'!I7,,Daily Census IP 2012
Staffing February,K19,='Daily Census IP 2012'!J7,,Daily Census IP 2012
Staffing February,L19,='Daily Census IP 2012'!K7,,Daily Census IP 2012
Staffing February,M19,='Daily Census IP 2012'!L7,,Daily Census IP 2012
Staffing February,N19,='Daily Census IP 2012'!M7,,Daily Census IP 2012
Staffing February,O19,='Daily Census IP 2012'!N7,,Daily Census IP 2012
Staffing February,P19,='Daily Census IP 2012'!O7,,Daily Census IP 2012
Staffing February,Q19,='Daily Census IP 2012'!P7,,Daily Census IP 2012
Staffing February,R19,='Daily Census IP 2012'!Q7,,Daily Census IP 2012
Staffing February,S19,='Daily Census IP 2012'!R7,,Daily Census IP 2012
Staffing February,T19,='Daily Census IP 2012'!S7,,Daily Census IP 2012
Staffing February,U19,='Daily Census IP 2012'!T7,,Daily Census IP 2012
Staffing February,V19,='Daily Census IP 2012'!U7,,Daily Census IP 2012
Staffing February,W19,='Daily Census IP 2012'!V7,,Daily Census IP 2012
Staffing February,X19,='Daily Census IP 2012'!W7,,Daily Census IP 2012
Staffing February,Y19,='Daily Census IP 2012'!X7,,Daily Census IP 2012
Staffing February,Z19,='Daily Census IP 2012'!Y7,,Daily Census IP 2012
Staffing February,AA19,='Daily Census IP 2012'!Z7,,Daily Census IP 2012
Staffing February,AB19,='Daily Census IP 2012'!AA7,,Daily Census IP 2012
Staffing February,AC19,='Daily Census IP 2012'!AB7,,Daily Census IP 2012
Staffing February,AD19,='Daily Census IP 2012'!AC7,,Daily Census IP 2012
Staffing February,AE19,='Daily Census IP 2012'!AD7,,Daily Census IP 2012
Staffing February,AH21,=C71,,
Staffing February,B32,=SUM(C32:AG32),SUM,
Staffing February,AH32,=SUM(C32:AE32),SUM,
Staffing February,B40,=SUM(C40:AG40),SUM,
Staffing February,AH40,=SUM(C40:AE40),SUM,
Staffing February,B53,=SUM(B40)+SUM(B44:B52),SUM,
Staffing February,B54,=SUM(C54:AG54),SUM,
Staffing February,C54,=C19,,
Staffing February,B71,=SUM(C21:AG21),SUM,
